bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Northern Bobwhite,Colinus virginianus,,"The only native quail in the east. Its whistled bob-white! call is a familiar sound in spring in farmland and brushy pastures. The birds are heard more often than seen; although not especially shy, they often keep within dense low cover. During fall and winter, bobwhites live in coveys, averaging about a dozen birds. At night they roost on the ground in circles, tails pointed inward, heads pointed out.",Near Threatened,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/northern-bobwhite
California Quail,Callipepla californica,,"The sharply-marked California Quail with the curving topknot is common along the California coast and in a few other areas of the west. It has adapted rather well to the increasing human population, and is often found around well-wooded suburbs and even large city parks. California Quail live in coveys at most seasons, and are often seen strutting across clearings, nodding their heads at each step. If disturbed, they may burst into fast low flight on whirring wings.",Least Concern,"Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/california-quail
Black Vulture,Coragyps atratus,,"Abundant in the southeast and scarce in the southwest. The Black Vulture is a broad-winged scavenger, in low flight, it proceeds with several quick flaps followed by a flat-winged glide; when rising thermals provide good lift, it soars very high above the ground. Black Vulture is usually seen in flocks, shorter wings and tail make it appear smaller than Turkey Vulture, but looks are deceptive: body size is about the same, and aggressive the Black Vulture often drive Turkey Vultures away from food.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Landfills and Dumps, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/black-vulture
Hooded Merganser,Lophodytes cucullatus,,"Mergansers are our only ducks that specialize in eating fish. The Hooded is the smallest of our three native merganser species, and often seems to be the least numerous, as it tends to live around swamps and wooded ponds where it may be overlooked. A cavity nester along wooded waterways in the temperate parts of North America, it has probably benefitted by taking advantage of nest boxes put out for Wood Ducks.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/hooded-merganser
Snow Goose,Anser caerulescens,,"Very localized, but abundant where they occur, Snow Geese typically are seen in large numbers or not at all. Included under this heading is the 'Blue Goose,' long considered a separate species, now known to be only a color morph of the smaller race of Snow (Lesser Snow Goose). The two color forms mate with each other, and may produce young of either or both colors. A larger race, Greater Snow Goose, nests in far eastern regions of Canada and winters on the Atlantic Coast.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/snow-goose
Spotted Towhee,Pipilo maculatus,,"A widespread towhee of the West, sometimes abundant in chaparral and on brushy mountain slopes. For many years it was considered to belong to the same species as the unspotted Eastern Towhees found east of the Great Plains, under the name of Rufous-sided Towhee. The Spotted Towhee differs in the heavy white spotting on its upperparts, and its songs and callnotes are more variable and much harsher in tone. It often is first noticed because of the sound of its industrious scratching in the leaf-litter under dense thickets.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/spotted-towhee
Bufflehead,Bucephala albeola,,"A diminutive diver, the Bufflehead is one of our smallest ducks, often very energetic in its feeding. Related to the goldeneyes and, like them, nests in cavities; but unlike other hole-nesting ducks, the Bufflehead is small enough to use unmodified old nest holes of Northern Flickers, giving it a ready source of good nest sites. Less sociable than most ducks, seen in pairs or small groups, almost never in large flocks. Takes wing easily from the water, flies with rapid wingbeats. The name 'Bufflehead' is derived from 'buffalo-head,' for the male's odd puffy head shape.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/bufflehead
White Ibis,Eudocimus albus,,"One of the most numerous wading birds in Florida, and common elsewhere in the southeast. Highly sociable at all seasons, roosting and feeding in flocks, nesting in large colonies. When groups wade through shallows, probing with their long bills, other wading birds such as egrets may follow them to catch prey stirred up by the ibises.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/white-ibis
Bank Swallow,Riparia riparia,,"The smallest of our swallows, the Bank Swallow is usually seen in flocks, flying low over ponds and rivers with quick, fluttery wingbeats. It nests in dense colonies, in holes in dirt or sand banks. Some of these colonies are quite large, and a tall cut bank may be pockmarked with several hundred holes. Despite their small size, tiny bills, and small feet, these swallows generally dig their own nesting burrows, sometimes up to five feet long.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers",https://www.audubon.org/field-guide/bird/bank-swallow
Rock Pigeon,Columba livia,,"Few birds have been associated with humans so closely as the Rock Pigeon, better known as the common city pigeon. It has been domesticated and taken around the world, raised for food, trained for homing, racing, and carrying messages, and used in research. Originally native from Europe to North Africa and India, it now lives in a wild or semi-wild condition in cities all over the world, including most of North America. In places it has reverted to wild habits, nesting on cliffs far from cities.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/rock-pigeon
Acorn Woodpecker,Melanerpes formicivorus,,"A clown-faced western woodpecker with a complicated social structure, living in small colonies. Best known for its habit of hoarding acorns: the birds drill small holes in a dead snag, then harvest acorns in fall and store them in these holes, to be eaten during winter. Such a ""granary tree"" may be used for generations and may be riddled with up to 50,000 holes. Nesting is a group activity, with several adults (up to 12 or more) taking part in incubating the eggs and feeding the young in a single nest.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/acorn-woodpecker
Crested Caracara,Caracara plancus,,"Related to the typical falcons, but very different in shape and habits. The Crested Caracara is a strikingly patterned, broad-winged opportunist that often feeds on carrion. Aggressive, it may chase vultures away from road kills. Widespread in the American tropics, it occurs only near the Mexican border and in Florida. 'Caracara' comes from an Indigenous South American name that mimics the bird’s call.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Landfills and Dumps, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/crested-caracara
Summer Tanager,Piranga rubra,,"A languid song in southern woods, sounding like a lazy robin, is the voice of the Summer Tanager. Seeing the bird may require some patience, because it usually moves rather slowly in the treetops, often remaining hidden among the leaves. At times, however, it flies out conspicuously to catch flying insects in mid-air. This bird apparently has no fear of stinging insects, often raiding wasp nests and occasionally becoming a minor nuisance around beehives.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/summer-tanager
Wood Thrush,Hylocichla mustelina,,"Seemingly not as shy as the other brown thrushes, not as bold as the Robin, the Wood Thrush seems intermediate between those two related groups. It sometimes nests in suburbs and city parks, and it is still common in many eastern woodlands, where its flutelike songs add music to summer mornings. However, numbers of Wood Thrushes have declined seriously in recent decades, focusing the attention of conservationists on the problems facing our migratory birds.",Near Threatened,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/wood-thrush
Black Skimmer,Rynchops niger,,"The strange, uneven bill of the skimmer has a purpose: the bird flies low, with the long lower mandible plowing the water, snapping the bill shut when it contacts a fish. Strictly coastal in most areas of North America, Black Skimmers are often seen resting on sandbars and beaches. Unlike most birds, their eyes have vertical pupils, narrowed to slits to cut the glare of water and white sand. Flocks in flight may turn in unison, with synchronized beats of their long wings. The world's three species of skimmers are sometimes placed in their own separate family, although they are clearly related to the terns.",Least Concern,"Coasts and Shorelines, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/black-skimmer
Yellow-bellied Sapsucker,Sphyrapicus varius,,"Although its name sounds like a cartoonist's invention, the Yellow-bellied Sapsucker does exist. This species is common in the north and east, and is replaced by close relatives in the west. Quiet in winter, it becomes noisy in spring, with cat-like calls and staccato drumming.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/yellow-bellied-sapsucker
Red-breasted Nuthatch,Sitta canadensis,,"With its quiet calls and dense coniferous forest habitat, this nuthatch may be overlooked until it wanders down a tree toward the ground. It often shows little fear of humans, and may come very close to a person standing quietly in a conifer grove. Red-breasted Nuthatches nest farther north and higher in the mountains than their relatives; when winter food crops fail in these boreal forests, they may migrate hundreds of miles to the south.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/red-breasted-nuthatch
Carolina Chickadee,Poecile carolinensis,,"The Carolina Chickadee is very similar to the Black-capped Chickadee and replaces it in the southeastern states. Living in milder climates, it has been reported to be less of a visitor to bird feeders, but it does come into suburban yards for sunflower seeds. Where the ranges of Black-capped and Carolina chickadees come together, they often interbreed. In these contact zones, they also can learn to imitate each other's songs -- causing great confusion for birdwatchers.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/carolina-chickadee
Wood Stork,Mycteria americana,,"Our only native stork in North America, a very large, heavy-billed bird that wades in the shallows of southern swamps. Flies with slow wingbeats, and flocks often soar very high on warm days. Young Wood Storks have noisy begging calls, but adults are almost silent except for hissing and bill clappering. Florida populations have declined as water management there has become a more difficult problem.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/wood-stork
White-crowned Sparrow,Zonotrichia leucophrys,,"In most parts of the West, the smartly patterned White-crowned Sparrow is very common at one season or another: summering in the mountains and the north, wintering in the southwestern lowlands, present all year along the coast. Winter birds usually live in flocks, rummaging on the ground near brushy thickets, perching in the tops of bushes when a birder approaches too closely. In the East, the White-crowned Sparrow is generally an uncommon migrant or wintering bird. Different populations of White-crowned Sparrows often have local 'dialects' in their songs, and these have been intensively studied by scientists in some regions.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/white-crowned-sparrow
Blue-gray Gnatcatcher,Polioptila caerulea,,"A tiny woodland bird with a long tail, usually seen flitting about in the treetops, giving a short whining call note. The Blue-gray Gnatcatcher often darts out in a brief, quick flight to snap up a tiny insect in mid-air. Widespread in summer, its breeding range is still expanding northward.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/blue-gray-gnatcatcher
Atlantic Puffin,Fratercula arctica,,"Nesting around the edges of the North Atlantic, the Atlantic Puffin is sought after by birdwatchers who visit Maine or eastern Canada in summer. At its colonies, the bird may fly back to its nest carrying a dozen small fish lined up in its bill, making us wonder how the puffin holds onto ten slippery fish while grabbing two more. Gregarious at its nesting sites, the Atlantic Puffin is often solitary in winter, far from land on the open ocean.",Vulnerable,"Coasts and Shorelines, Open Ocean",https://www.audubon.org/field-guide/bird/atlantic-puffin
California Scrub-Jay,Aphelocoma californica,,"This is the ""blue jay"" of parks, neighborhoods, and riverside woods near the Pacific Coast. Pairs of California Scrub-Jays are often seen swooping across clearings, giving harsh calls, with their long tails flopping in flight. They readily come to backyard bird feeders. Until recently, this jay was considered part of the same species as the Woodhouse's Scrub-Jay; the two were officially ""split"" in July 2016.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/california-scrub-jay
Northern Saw-whet Owl,Aegolius acadicus,,"Birders who prowl through conifer groves in winter sometimes find this round-headed little gnome perched there, sitting still as if to avoid notice. Avoiding notice is a task at which this owl often succeeds; it is overlooked in many places where it occurs. Late at night in the breeding season, males give a rhythmic tooting song that may go on for hours with scarcely a break. The bird was named for this song, which reminded settlers of the sound of a whetstone sharpening a saw.",Least Concern,"Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/northern-saw-whet-owl
Chimney Swift,Chaetura pelagica,,"The only swift occurring regularly in the east. It once nested in hollow trees, but today it nearly always nests in chimneys or other structures. Because the bird can be easily captured and banded in such situations, it has been studied much more thoroughly than other North American swifts. In late summer, hundreds or even thousands of individuals may roost in one large chimney, gathering in spectacular flocks overhead near dusk.",Vulnerable,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/chimney-swift
American Goshawk,Astur atricapillus,,"A powerful predator of northern and mountain woods. Goshawks hunt inside the forest or along its edge; they take their prey by putting on short bursts of amazingly fast flight, often twisting among branches and crashing through thickets in the intensity of pursuit. In some years, perhaps when prey is scarce in the north, autumn invasions may bring Goshawks well to the south of their normal range in the east and into lowland valleys in the west.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/northern-goshawk
American Bittern,Botaurus lentiginosus,,"Extensive freshwater marshes are the favored haunts of this large, stout, solitary heron. It is seldom seen as it slips through the reeds, but its odd pumping or booming song, often heard at dusk or at night, carries for long distances across the marsh.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/american-bittern
Chukar,Alectoris chukar,,"Native to the Middle East and southern Asia, the Chukar was brought as a game bird to North America, where it has thrived in some arid regions of the west. From late summer to early spring, these birds travel in coveys, but they may be hard to see as they range through the brush of steep desert canyons. They become more conspicuous in spring, when the harsh cackling chuk chuk chukar of the territorial males echoes from the rocky cliffs.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/chukar
Evening Grosbeak,Coccothraustes vespertinus,,"This chunky, big-billed finch wanders widely in winter, descending on bird feeders in colorful, noisy flocks, to thrill feeder-watchers and to consume prodigious amounts of sunflower seeds. Originally a western bird, almost unknown east of the Great Lakes before the 1890s, it now breeds commonly east to New England and the Maritime Provinces. Its eastward spread may have been helped by both the planting of box elders (a favorite food tree) across northern prairies, and the abundance of bird feeders in the Northeast.",Vulnerable,"Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/evening-grosbeak
Varied Thrush,Ixoreus naevius,,"The haunting songs of the Varied Thrush echo through the dense humid forests of the Pacific Northwest. Long minor-key whistles repeated after deliberate pauses, they seem like sounds without a source; only a careful searcher will find the bird itself. Although it looks superficially like a robin, the Varied Thrush is far more elusive, usually feeding on the ground among dense thickets. Typical of the far west, it sometimes surprises birders by straying all the way to the Atlantic Coast in winter.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/varied-thrush
Chipping Sparrow,Spizella passerina,,"Common over much of the continent is the little Chipping Sparrow. Originally a bird of open pine woods and edges, it has adapted well to altered landscapes. It now nests in gardens and parks in many areas, its tame behavior making it well-known and popular. Evidently it was even more common in towns in the 19th century; but then the House Sparrow, introduced from Europe, took over its place as our number one city 'sparrow.'",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/chipping-sparrow
Black-and-white Warbler,Mniotilta varia,,"This bird is often a favorite warbler for beginning birders, because it is easy to see and easy to recognize. It was once known as the 'Black-and-white Creeper,' a name that describes its behavior quite well. Like a nuthatch or creeper (and unlike other warblers), it climbs about on the trunks and major limbs of trees, seeking insects in the bark crevices. It often feeds low, and nests even lower, usually on the ground.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/black-and-white-warbler
Brown Pelican,Pelecanus occidentalis,,"An unmistakable bird of coastal waters, the Brown Pelican often flies low over the waves in single file, flapping and gliding in unison. Their feeding behavior is spectacular, as they plunge headlong into the water in pursuit of fish. The current abundance of this species in the United States represents a success story for conservationists, as the Brown Pelican was seriously endangered as recently as the early 1970s. Ending the use of DDT and other persistent pesticides allowed for the Brown Pelican's resurgence.",Least Concern,"Coasts and Shorelines, Open Ocean, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/brown-pelican
Black Phoebe,Sayornis nigricans,,"The sharp whistled call of the Black Phoebe is a typical sound along creeks and ponds in the southwest. The birder who explores such areas is likely to see the bird perched low over the water, slowly wagging its tail, then darting out in rapid flight to snap up an insect just above the water's surface. Related to the familiar Eastern Phoebe of eastern North America, this species has a much wider range, living along streams from California to Argentina.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Lakes, Ponds, and Rivers, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/black-phoebe
White-throated Sparrow,Zonotrichia albicollis,,"A common winter bird of eastern woodlots, shuffling about on the ground in loose flocks, often coming to bird feeders that are placed close enough to the shelter of thickets. It is also widespread in the West in winter, but in much smaller numbers. In summer, White-throated Sparrows sing their clear whistles in northern forests. Adults may have head stripes of either white or tan, and scientists have found some odd differences in behavior between these two color morphs.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/white-throated-sparrow
Hermit Thrush,Catharus guttatus,,"A more hardy bird than the other brown-backed thrushes, the Hermit migrates north earlier in spring and lingers later in fall than the others; it is the only one likely to be seen in winter in North America. If startled from the ground in the forest interior it often perches low and stares at the observer, flicking its wings nervously and slowly raising and lowering its tail. In summer, its clear, pensive song is heard in forests of the mountains and the north.",Least Concern,"Arroyos and Canyons, Forests and Woodlands, High Mountains, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/hermit-thrush
Fish Crow,Corvus ossifragus,,"Like a smaller edition of the American Crow, but with a more nasal voice, and typically found near water, the Fish Crow is very common in parts of the southeast. On the coast, it hunts in salt marshes and tidal flats, and scavenges on the beach. Inland, it ranges through swamps and along rivers. In recent decades it has extended its range farther and farther inland in some areas, especially on the Atlantic coastal plain and far up the Mississippi Valley.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Landfills and Dumps, Saltwater Wetlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/fish-crow
Eastern Kingbird,Tyrannus tyrannus,,"This species is the only widespread kingbird in the east. Common and conspicuous in summer, it is often seen perched jauntily on a treetop or fence wire, or sallying out with shallow fluttering wingbeats to catch an insect in mid-air. In winter in South America it takes on a different personality, living in flocks in tropical forest and dining on berries.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/eastern-kingbird
Bullock's Oriole,Icterus bullockii,,"In the west, this oriole is common in summer in forest edge, farmyards, leafy suburbs, isolated groves, and streamside woods, especially in cottonwood trees. For several years it was considered to belong to the same species as the eastern Baltimore Oriole (with the two combined under the name Northern Oriole), because the two often interbreed where their ranges come in contact on the western Great Plains. The habits of the two are similar.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/bullocks-oriole
American Black Duck,Anas rubripes,,"A close relative of the Mallard, the Black Duck is better adapted to wooded country. With the clearing of forest, it has steadily lost ground to spreading populations of Mallards. In its stronghold along the Atlantic Coast it is a hardy bird, wintering farther north than most dabbling ducks. It is among the few dabblers to prosper in tidewater areas; pairs and small parties of Black Ducks are often seen flying over the salt marsh, their white wing linings flashing in bright contrast to their dark bodies.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/american-black-duck
Common Yellowthroat,Geothlypis trichas,,"Abundant and well-known, the Common Yellowthroat has succeeded by being a nonconformist. As the only one of our warblers that will nest in open marshes, it is found in practically every reed-bed and patch of cattails from coast to coast. Although it sometimes hides in the marsh, its low rough callnote will reveal its presence. The male often perches atop a tall stalk to rap out his distinctive song, wichity-wichity-wichity.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/common-yellowthroat
Bobolink,Dolichonyx oryzivorus,,"Fluttering over meadows and hayfields in summer, the male Bobolink delivers a bubbling, tinkling song which, loosely interpreted, gives the species its name. The male is unmistakable in spring finery, but before fall migration he molts into a striped brown appearance like that of the female. Bobolinks in this plumage were once known as 'ricebirds' in the South, where they occasionally used to cause serious damage in the ricefields.",Least Concern,"Fields, Meadows, and Grasslands, Freshwater Wetlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/bobolink
Allen's Hummingbird,Selasphorus sasin,,"A close relative of the Rufous Hummingbird, Allen's has a more limited range, nesting mostly in California. This is one of the two common nesting hummingbirds in northern California gardens (Anna's is the other). Females and immatures of Allen's Hummingbird are almost impossible to separate from Rufous females without close examination, so the status of the species in migration is still being worked out by dedicated hummingbird banders.",Least Concern,"Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/allens-hummingbird
Trumpeter Swan,Cygnus buccinator,,"Largest of the native waterfowl in North America, and one of our heaviest flying birds, the Trumpeter Swan was almost driven to extinction early in the 20th century. Its healthy comeback is considered a success story for conservationists. Ordinarily the Trumpeter is quite sensitive to human disturbance; in protected areas, such as some parks and refuges, it may become accustomed to humans and allow close approach.",Least Concern,"Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/trumpeter-swan
Anhinga,Anhinga anhinga,,"A long-necked, long-tailed swimmer of southeastern swamps. Often seen perched on a snag above the water, with its wings half-spread to dry. Can vary its buoyancy in water, sometimes swimming with only head and neck above water (earning it the nickname of 'Snakebird'). Often solitary when feeding, it roosts in groups and nests in colonies. Looks rather like a cormorant when perched, but not in flight, when the long tail may be spread wide as the Anhinga soars high on outstretched wings. Anhingas are silent at most times, but around nesting colonies they make various croaking and clicking sounds.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/anhinga
Pine Siskin,Spinus pinus,,"Although it is patterned like a sparrow, its shape, actions, and callnotes all reveal that this bird is really a goldfinch in disguise. After nesting in the conifer woods, Pine Siskins move out into semi-open country, where they roam in twittering flocks. They often descend on fields of thistles or wild sunflowers, where they cling to the dried flower heads, eating seeds. In winter they sometimes invade southward in big numbers, with flocks coming to feeders along with American Goldfinches.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/pine-siskin
Bewick's Wren,Thryomanes bewickii,,"In dry thickets and open woods of the west, this is often a very common bird. Pairs of Bewick's Wrens (pronounced like 'Buick') clamber about actively in the brush, exploring tangles and bark crevices, waving their long tails about, giving harsh scolding notes at any provocation. In the east, this species is far less common, and it has vanished from most of its former range east of the Mississippi River.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/bewicks-wren
Chuck-will's-widow,Antrostomus carolinensis,,"The rich, throaty chant of the Chuck-will's-widow, singing its name, echoes through southern woodlands on summer nights. By day, the bird is seldom detected as it rests on horizontal tree limbs or on the ground, where its cryptic dead-leaf pattern offers good camouflage. If disturbed, it flaps away on silent wings, sometimes giving low clucking calls in protest.",Near Threatened,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/chuck-wills-widow
Black-chinned Hummingbird,Archilochus alexandri,,"Over much of the west, this species is widespread in many habitats at low elevations, often coming into suburban gardens and nesting in back yards within its range. Several other western hummingbirds may stay through the winter, at least in small numbers, but the Black-chin is almost entirely absent from the west in winter.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/black-chinned-hummingbird
Yellow-billed Cuckoo,Coccyzus americanus,,"Sometimes common but usually hard to observe, the Yellow-billed Cuckoo inhabits dense leafy groves and thickets during the summer. Its stuttering, croaking calls, audible at a great distance, are often heard on hot, humid afternoons; people sometimes call this bird the 'rain crow,' imagining that it is calling for rain.",Least Concern,"Arroyos and Canyons, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/yellow-billed-cuckoo
Common Cuckoo,Cuculus canorus,,"This is the famous bird of Europe whose voice is imitated by cuckoo clocks (and whose call, coo-coo, gave the name to the entire cuckoo family). It is well known as a brood parasite: females lay their eggs in the nests of smaller birds, and their hapless 'hosts' raise only young cuckoos. A common migratory bird across most of Europe and Asia, it regularly strays to the western Alaskan islands in late spring and early summer.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Shrublands, Savannas, and Thickets, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/common-cuckoo
Muscovy Duck,Cairina moschata,,"Most birders know the Muscovy only from having seen the dumpy domesticated version. Wild Muscovies, native to the American tropics, are wary, fast-flying birds of wooded rivers and swamps. Most Muscovies seen in North America are of the barnyard variety, but small numbers of wild birds from northeastern Mexico may appear on the Rio Grande in southern Texas. These big ducks nest in cavities in trees, and cavities large enough have become harder to find as riverside trees have been cut. However, they will also use nest boxes, and many such boxes have been put in place in Mexico by the organization Ducks Unlimited.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/muscovy-duck
Little Blue Heron,Egretta caerulea,,"Despite its different last name, the Little Blue Heron is probably a close relative of the Snowy Egret. It looks much like a Snowy when it is young, but molts to a dark slate-blue plumage as an adult. Generally wary and hard to approach. Nests in colonies, sometimes of this species alone; in large mixed heronries, Little Blues tend to nest along the edges. Some of its largest colonies are in the lower Mississippi Valley, where it often nests in association with Cattle Egrets.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/little-blue-heron
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,,"The male Yellow-headed Blackbird is impressive to see, but not to hear: it may have the worst song of any North American bird, a hoarse, harsh scraping. Yellow-heads nest in noisy colonies in big cattail marshes of the west and midwest; when not nesting, they gather in flocks in open fields, often with other blackbirds. At some favored points in the southwest in winter, they may be seen in flocks of thousands.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Freshwater Wetlands, Landfills and Dumps, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/yellow-headed-blackbird
